id,n_victimas,tipo_de_calle,comuna,longitud,latitud,participantes,victima,acusado,direccion_normalizada,rol,sexo,edad,fecha_hora,fecha_fallecimiento,categoria_edad,encrucijada
2016-0067,1,AVENIDA,8,-58.48455411,-34.6751276,MOTO-PASAJEROS,MOTO,PASAJEROS,"DE LA TORRE, LISANDRO y SARAZA",PASAJERO_ACOMPAÑANTE,FEMENINO,30,2016-05-21 17:00:00,2016-05-21,30-44,True
2016-0068,1,AVENIDA,2,-58.39056593,-34.58418569,MOTO-PASAJEROS,MOTO,PASAJEROS,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",CONDUCTOR,MASCULINO,58,2016-05-22 22:00:00,2016-05-22,45-64,True
2016-0069,1,AVENIDA,3,-58.39118948,-34.62704273,AUTO-CARGAS,AUTO,CARGAS,ENTRE RIOS AV. y FILIBERTO,CONDUCTOR,MASCULINO,30,2016-05-23 03:30:00,2016-05-23,30-44,True
2016-0073,1,CALLE,10,-58.49021952,-34.62025108,MOTO-CARGAS,MOTO,CARGAS,"MAGARIÃ‘OS CERVANTES, A. 3900",CONDUCTOR,MASCULINO,23,2016-06-11 15:00:00,2016-06-11,18-29,False
2016-0074,1,GRAL PAZ,8,-58.49896559,-34.67732118,AUTO-AUTO,AUTO,AUTO,"PAZ, GRAL. AV. y SCAPINO, RODOLFO",CONDUCTOR,MASCULINO,60,2016-06-12 06:40:00,2016-06-12,45-64,True
2016-0075,1,AUTOPISTA,8,-58.47461076,-34.66874679,PEATON-AUTO,PEATON,AUTO,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,PEATON,MASCULINO,42,2016-06-12 23:13:00,2016-06-12,30-44,True
2016-0076,1,AVENIDA,15,-58.46210891,-34.60356211,PEATON-PASAJEROS,PEATON,PASAJEROS,SAN MARTIN AV. y CAMARONES,PEATON,FEMENINO,53,2016-06-13 16:20:00,2016-06-13,45-64,True
2016-0077,1,AVENIDA,1,-58.3702777,-34.60536123,PEATON-PASAJEROS,PEATON,PASAJEROS,"PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",PEATON,FEMENINO,35,2016-06-13 21:52:00,2016-06-13,30-44,True
2016-0078,1,AVENIDA,3,-58.40491455,-34.6146383,MOTO-MOTO,MOTO,MOTO,BELGRANO AV. y JUJUY AV.,CONDUCTOR,MASCULINO,30,2016-06-13 23:01:00,2016-06-13,30-44,True
2016-0079,1,AVENIDA,13,-58.45504154,-34.54864492,AUTO-AUTO,AUTO,AUTO,"DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",CONDUCTOR,FEMENINO,51,2016-06-16 17:13:00,2016-06-16,45-64,True
